MedianLatNorth,MedianLatSouth,MedianLatNorth_Smoothed,MedianLatSouth_Smoothed,times
26.940212765957444,-23.155,27.075734905314043,-22.893242396675987,1985-04-02 06:00:00
26.940212765957444,-23.155,26.983002752050435,-23.097431914896084,1985-07-02 12:00:00
26.940212765957444,-23.155,26.781882405903872,-23.507794580641136,1985-10-01 18:00:00
26.940212765957444,-23.155,26.362361023469642,-24.314988165678994,1986-01-01 00:00:00
25.020323886639677,-26.365936794582392,25.762381791940495,-25.391365588263803,1986-04-02 06:00:00
25.020323886639677,-26.365936794582392,25.238669365553452,-26.100445525959408,1986-07-02 12:00:00
25.020323886639677,-26.365936794582392,24.71759732027445,-26.18612574762905,1986-10-01 18:00:00
25.020323886639677,-26.365936794582392,23.959306233319047,-25.67296703919478,1987-01-01 00:00:00
21.97151879699248,-23.69102205882353,22.98398776391518,-24.797983262225824,1987-04-02 06:00:00
21.97151879699248,-23.69102205882353,22.259396643663706,-24.03179208327681,1987-07-02 12:00:00
21.97151879699248,-23.69102205882353,21.838344234289757,-23.32889944262404,1987-10-01 18:00:00
21.97151879699248,-23.69102205882353,21.51647458750532,-22.376878922767514,1988-01-01 00:00:00
20.798584936419957,-19.890446026986503,21.177202300287952,-21.16690687064522,1988-04-01 12:00:00
20.798584936419957,-19.890446026986503,20.905824138716515,-20.24974580812331,1988-07-02 00:00:00
20.798584936419957,-19.890446026986503,20.63775741800909,-19.644026394835826,1988-10-01 12:00:00
20.798584936419957,-19.890446026986503,20.225844902023894,-19.053369908637855,1989-01-01 00:00:00
18.96588319088319,-17.64953819343596,19.665990553609564,-18.369979226248635,1989-04-02 06:00:00
18.96588319088319,-17.64953819343596,19.17359802572541,-17.84769243867694,1989-07-02 12:00:00
18.96588319088319,-17.64953819343596,18.656543090551516,-17.45783673992291,1989-10-01 18:00:00
18.96588319088319,-17.64953819343596,17.868003110196923,-17.004411796316113,1990-01-01 00:00:00
15.69061282323769,-15.842070472548484,16.83057069569172,-16.445121786872505,1990-04-02 06:00:00
15.69061282323769,-15.842070472548484,16.017766722237738,-16.01235788725856,1990-07-02 12:00:00
15.69061282323769,-15.842070472548484,15.423285769576928,-15.693176502256179,1990-10-01 18:00:00
15.69061282323769,-15.842070472548484,14.764604339149264,-15.330866548256548,1991-01-01 00:00:00
13.133819512195121,-14.404794348508636,13.970443622454326,-14.8873079118243,1991-04-02 06:00:00
13.133819512195121,-14.404794348508636,13.366486378944746,-14.5410746119609,1991-07-02 12:00:00
13.133819512195121,-14.404794348508636,12.942438047093173,-14.273809600717103,1991-10-01 18:00:00
13.133819512195121,-14.404794348508636,12.48844162263122,-13.95361024348404,1992-01-01 00:00:00
11.362636718749998,-13.117291666666667,11.942456493819595,-13.553773736344116,1992-04-01 12:00:00
11.362636718749998,-13.117291666666667,11.524449657931864,-13.240580712096808,1992-07-02 00:00:00
11.362636718749998,-13.117291666666667,11.218894528892191,-12.998510318826668,1992-10-01 12:00:00
11.362636718749998,-13.117291666666667,10.871948483358224,-12.708514079778327,1993-01-01 00:00:00
9.978754237288136,-11.965263157894736,10.4462631089592,-12.349575230084564,1993-04-02 06:00:00
9.978754237288136,-11.965263157894736,10.110431058422034,-12.072691995946835,1993-07-02 12:00:00
9.978754237288136,-11.965263157894736,9.842528133659041,-11.873036301656454,1993-10-01 18:00:00
9.978754237288136,-11.965263157894736,9.511980163833988,-11.65437620053342,1994-01-01 00:00:00
8.661091445427727,-11.115204081632653,9.09965035064573,-11.39296019086269,1994-04-02 06:00:00
8.661091445427727,-11.115204081632653,8.784552807074355,-11.199016983349853,1994-07-02 12:00:00
8.661091445427727,-11.115204081632653,8.567032050619632,-11.070837878064813,1994-10-01 18:00:00
8.661091445427727,-11.115204081632653,8.341270346132937,-10.934705315936753,1995-01-01 00:00:00
7.784346666666667,-10.44718137254902,8.073959753524532,-10.751618298572202,1995-04-02 06:00:00
7.784346666666667,-10.44718137254902,7.869028552664741,-10.541070756321657,1995-07-02 12:00:00
7.784346666666667,-10.44718137254902,7.713482983872554,-10.179317024263673,1995-10-01 18:00:00
7.784346666666667,-10.44718137254902,7.5237342321603515,-9.490422108016467,1996-01-01 00:00:00
6.944010989010991,-7.488846153846154,7.273692696136895,-8.540935274712183,1996-04-01 12:00:00
6.944010989010991,-7.488846153846154,7.038223067254819,-7.790319940582799,1996-07-02 00:00:00
6.944010989010991,-7.488846153846154,6.7446266918365145,-7.243011638550919,1996-10-01 12:00:00
6.944010989010991,-7.488846153846154,6.255454166828083,-6.646541034865074,1997-01-01 00:00:00
4.953863636363636,-5.259411764705882,5.612601101249149,-5.9447906544333655,1997-04-02 06:00:00
4.953863636363636,-5.259411764705882,5.14558184143565,-5.449900435697163,1997-07-02 12:00:00
4.953863636363636,-5.259411764705882,4.914180295477518,-5.21084409201404,1997-10-01 18:00:00
4.953863636363636,-5.259411764705882,4.802676093441945,-5.099465221341305,1998-01-01 00:00:00
26.361428571428576,-23.95952380952381,26.59349525964311,-23.854753128598222,1995-04-02 06:00:00
